Wall time,Step,Value
1585070040.1857302,5670,0.002813745988532901
1585071271.0659466,12042,0.06932175904512405
1585071907.4591782,12094,0.013969723135232925
1585072499.2760255,12095,0.014037505723536015
1585073111.7021456,12181,0.030922502279281616
1585073761.0106285,12182,0.02224898524582386
1585074363.0986505,12183,0.01809392310678959
1585077610.4300933,17760,0.15041103959083557
1585078255.2693524,17761,0.152851402759552
1585078899.1205473,17762,0.15451164543628693
1585079550.9049077,17763,0.15514342486858368
1585080202.369267,17764,0.15181617438793182
1585080854.663771,17765,0.1544271856546402
1585081508.1206412,17766,0.158042773604393
1585083503.0700946,23489,0.335454523563385
1585084182.9913068,23490,0.32889437675476074
1585084905.3935468,23491,0.3247537910938263
1585085625.332324,23492,0.3301396667957306
1585086310.3753057,23493,0.3386394679546356
1585087041.4868872,23494,0.3424099087715149
1585087757.6932266,23495,0.3422159254550934
1585089964.96195,29164,0.25753119587898254
1585090704.7364547,29165,0.25256168842315674
1585091407.2796717,29166,0.2505667209625244
1585092147.6796854,29167,0.2491069734096527
1585092844.320436,29168,0.25568443536758423
1585095379.0936027,34905,0.44931188225746155
1585096113.7867706,34906,0.43863582611083984
1585096855.5654204,34907,0.43435928225517273
1585097577.3074427,34908,0.4439696967601776
1585098294.7991166,34909,0.4543047547340393
1585099014.7488778,34910,0.46226203441619873
1585099751.570774,34911,0.471916526556015
1585100511.1617312,34912,0.4844530522823334
1585101240.775279,34913,0.4885232150554657
1585136230.7125735,40623,0.3771669864654541
1585136951.9055898,40624,0.37210017442703247
1585137698.3728514,40625,0.3671105206012726
1585138420.0743241,40626,0.36182713508605957
1585139146.096989,40627,0.35619038343429565
1585141241.4516294,46169,0.6938073635101318
1585142123.537077,46170,0.6763871908187866
1585142953.534896,46171,0.6762385964393616
1585143803.1750476,46172,0.6935898661613464
1585146398.4769742,51824,0.7499334812164307
1585147288.8596094,51825,0.7438490986824036
1585148143.893145,51826,0.7477707266807556
1585149022.0298204,51827,0.7482178211212158
1585149854.3454804,51828,0.7485556602478027
1585150687.1057675,51829,0.7552356123924255
1585151523.7323604,51830,0.7562409043312073
1585154064.736893,57530,0.7426899671554565
1585154879.4394257,57531,0.7417927384376526
1585155729.299908,57532,0.7481642961502075
1585156550.4963236,57533,0.7494500279426575
1585157397.0947115,57534,0.7509920597076416
1585158258.4201865,57535,0.7530463337898254
1585163834.561714,59671,0.8293543457984924
1585164677.113348,59672,0.8302189111709595
1585165512.047012,59673,0.8310501575469971
1585166369.5637367,59674,0.8316056728363037
1585167203.2337945,59675,0.8336486220359802
1585168038.7694397,59676,0.8337417840957642
1585168906.9282384,59677,0.8276371359825134
